date,headline
2025-09-27,Country charity shop holds rare relic of 1940s retail experience
2025-09-27,"Peugeot 3008 GT Hybrid 136: a stylish, relaxing place to be"
2025-09-27,"A tall order: Can Starbucks, once the king of the high street, return to its glory days?"
2025-09-27,"Trump finds new trade targets -- pharmaceuticals, kitchen cabinets and heavy trucks"
2025-09-27,Auckland Mayor Wayne Brown talks to Simon Wilson: Grumpy no more?
2025-09-27,Are We in an A.I. Bubble? I Suspect So
2025-09-27,"Ministry backs SGAC to boost green finance, circular economy"
2025-09-28,"Iranians fear more economic pain, war as UN sanctions snapback"
2025-09-28,Iran's clerical leaders face existential crisis amid nuclear deadlock
2025-09-28,Iran's clerical leaders face existential crisis amid nuclear deadlock
2025-09-28,John Studzinski is a legend of Wall Street and philanthropy. He shares 5 reasons young people should give back.
2025-09-28,The Economic Singularity And The Five As
2025-09-28,Global Debt Hits $338 Trillion At Worst Possible Moment
2025-09-28,"Trump at the UN: Turning point in history, and not in a good way"
2025-09-28,UN sanctions return to hit Iran after nuclear talks fail
2025-09-28,'The UN is in a state of crisis' warns Indian senior government minister
2025-09-28,"Asean must restore Myanmar peace, says Tok Mat"
2025-09-28,"Germany’s Bosch announces JOB CUTS impacting 13,000 positions as the country’s auto industry faces serious crisis"
2025-09-28,Nvidia’s $100 billion OpenAI investment raises eyebrows and a key question: How much of the AI boom is just Nvidia’s cash being recycled?
2025-09-28,"Meet the colonel who defied Britain, challenged Israel, and became a godlike hero to Gaddafi and millions of Arabs"
2025-09-28,Farewell Friends
2025-09-28,Moldovans cast ballots in a tense election plagued by Russian interference claims
2025-09-28,John Brown
2025-09-28,LDP Leadership Candidates Debate With High School Students
2025-09-28,Texas man keeping a secret nest egg from partner — Dave Ramsey tells him exactly why that ‘ain't gonna work’
2025-09-28,Netflix's #1 Show Returns With Record Breaking Budget
2025-09-28,"Full transcript of ""Face the Nation with Margaret Brennan,"" Sept. 28, 2025"
2025-09-28,"Hot Springs Documentary Film Festival To Host Top Oscar Contenders, Scorsese Docuseries, Honor Filmmakers Jon Alpert, Geeta Gandbhir"
2025-09-28,Where do our taxes go and where will they go in future?
2025-09-28,Starmer Warns UK Labour In 'Fight Of Our Lives' As Party Meets
2025-09-28,Moldova at a Crossroads: Russia’s “all in” against Chișinău’s European Future
2025-09-28,G20 in a changing world: is it still useful? Four scholars weigh in
2025-09-28,"Transcript: Sen. Amy Klobuchar on ""Face the Nation with Margaret Brennan,"" Sept. 28, 2025"
2025-09-28,"Transcript: Sen. Amy Klobuchar on ""Face the Nation with Margaret Brennan,"" Sept. 28, 2025"
2025-09-28,Moldovans cast ballots in a tense election plagued by Russian interference claims
2025-09-28,"Li Qiang's Speech at the 80th Session of the United Nations General Assembly, by Li Qiang"
2025-09-28,Apartheid in Action: How Israel Systematically Strips Palestinian Voting Rights While Claiming Democratic Legitimacy
2025-09-28,"Peso Crisis Drives Mortgage Rates to 15%, Upending Milei Agenda"
2025-09-28,France faces pressure to slash overseas aid as debt crisis worsens
2025-09-28,How taxes and rules are tarnishing the Golden State
2025-09-28,2025 SkS Weekly Climate Change & Global Warming News Roundup #39
2025-09-28,"US agrees South Korea not a currency manipulator, Seoul says"
2025-09-28,"Nextrush Unplugged Weekend*Gaza Conflict Continues, US Plan Leaked Out*Serious Presidents, Serious Issues*Not Made In China But...*""Donald Trump Is A....""*The Power I Surrender To*"
2025-09-28,Moldovans cast ballots in a tense election plagued by Russian interference claims
2025-09-28,Starmer warns UK Labour in ‘fight of our lives’ as party meets
2025-09-28,"The Microbe Directory, Cyber Law Toolkit, Archiving Facebook, More: Sunday Afternoon ResearchBuzz, September 28, 2025"
2025-09-28,'Denting-painting must be done': UP CM Yogi Adityanath issues stern warning as 'I Love Muhammad' row sparks protests
2025-09-28,Moldova’s pro-EU party leads polls in election fraught with Russian interference claims
2025-09-28,Nvidia’s $100 billion OpenAI investment raises eyebrows and a key question: How much of the AI boom is just Nvidia’s cash being recycled?
2025-09-28,Barra Roantree: There’s nothing ‘prudent’ about a budget that cuts Vat on Big Macs and Michelin-starred meals
2025-09-28,Israel’s isolation deepens as backlash and international sanctions mount | CNN
2025-09-28,"Asean must restore credibility of five point consensus, uphold stability in Myanmar, says Tok Mat"
2025-09-28,UN sanctions on Iran return after failed nuclear talks with West
2025-09-28,G20 in a changing world: is it still useful? Four scholars weigh in
2025-09-28,"Big Tech’s ‘misleading’ green energy claims may plunge nation into blackouts, AGs warn"
2025-09-28,Starmer Warns UK Labour In 'Fight Of Our Lives' As Party Meets
2025-09-28,Moldovans cast ballots in a tense election plagued by Russian interference claims
2025-09-28,"Reps wade into Dangote, PENGASSAN crisis"
2025-09-28,Moldovans cast ballots in a tense election plagued by Russian interference claims
2025-09-28,The EU’s 5 biggest environmental problems — and why they’re not being solved
2025-09-28,"OpenAI’s New Data Centers Will Draw More Power Than the Entirety of New York City, Sam Altman Says"
2025-09-28,"JAPA Storm: More Doctors Flee Nigeria Under Tinubu, Chase UK’s ₦50m Pay as Health Sector Crumbles - Parallel Facts"
2025-09-28,Today’s News in a Nutshell
2025-09-28,Economic Digest: Nepal’s Business News in a Snap
2025-09-29,Trump’s new tariffs will slam America’s already brutal housing crisis
2025-09-29,Trump’s new tariffs will slam America’s already brutal housing crisis
2025-09-29,"‘Last Week Tonight With John Oliver’ Discusses Israel, “Increasingly Unfavorable” Benjamin Netanyahu"
2025-09-29,War on Labor Accelerates: Administration Predictably Embraces Guest Workers and “Anti-Capitalism” Is Labeled Terrorism
2025-09-29,Commerce Vs. Confrontation: America’s China Conundrum
2025-09-29,Trump’s $350 Billion ‘Signing Bonus’ From South Korea Is In Limbo
2025-09-29,The Economic Impact Of The Wage Gap Growing Two Years In A Row
2025-09-29,The Dollar Is Tanking...
2025-09-29,A $305 Million Deal Creates World’s Largest Airport Services Provider
2025-09-29,Afghanistan’s Bagram airbase: Why is Trump desperate to take it back?
2025-09-29,Longer Unemployment Outside A Recession Is The New Normal
2025-09-29,Ford CEO warns there’s a dearth of blue-collar workers able to construct AI data centers and operate factories: ‘Nothing to backfill the ambition’
2025-09-29,"Six months in, Canada's Carney faces two-front trade war with little leverage"
2025-09-29,"China's Premier Li calls for solidarity, peace and shared economic prosperity in UN address"
2025-09-29,Spain steps up: A $175M lifeline for Palestinian refugees as global support shifts
2025-09-29,Gold Reached a New Record High
2025-09-29,France can’t stop talking about Gabriel Zucman — and his wealth tax
2025-09-29,Ford CEO warns there’s a dearth of blue-collar workers able to construct AI data centers and operate factories: ‘Nothing to backfill the ambition’
2025-09-29,Trump Unveils U.S.-Led Peace Plan for Gaza
2025-09-29,India’s 2025 reform moment: Deregulation as the next growth catalyst
2025-09-29,"Lebanon’s Solar Capacity surged since 2020 to 1.5 gigawatts, as Homeowners tired of Blackouts"
2025-09-29,The Big Lebowski Civil War
2025-09-29,How Argentina Became Latin America's 4th Largest Crude Oil Producer
2025-09-29,Need to know: Here are the travel impacts when the government shuts down
2025-09-29,‘Cruel joke’: How Indian H-1B dreams are crash landing after Trump fee hike
2025-09-29,"Piero Cipollone: Digital euro: protecting our freedom, autonomy and security"
2025-09-29,The Warning Signs Are Clear: We're Headed Towards Digital Crisis...
2025-09-29,Iran Slams 'Failed Diplomacy' As Snapback Sanctions Take Force
2025-09-29,Breathing bad: Industrial expansion needn’t leave India’s air even more toxic
2025-09-29,South Korea’s trade deal with Trump could sink its currency and trigger a financial crisis
2025-09-29,Identity is Crucial to Change
2025-09-29,"'Canada does not retreat' during a crisis, Anand tells United Nations"
2025-09-29,Haiti demands a new international force and reparations from France
2025-09-29,"At the UN, African leaders did not draw attention to home conflicts, analysts say"
2025-09-29,"In UN speech, Beijing makes clear its intent to remold global norms, seizing on Trump's retreat"
2025-09-29,The Trump–MBS Bromance and the Future of Saudi–US Relations
2025-09-29,The eye in the sky: what Denmark’s drone sightings tell us about power and fear down the years
2025-09-29,"Best money market account rates today, September 29, 2025 (Earn up to 4.4% APY)"
2025-09-29,"France, Germany on defensive over industrial fund access for smaller EU states"
2025-09-29,"Coffee Break: Delusion, Deception and Dipshittery: Hasbara on the 8th Front"
2025-09-29,Democratic voters are furious with party leaders. And that disaffection has a cost.
2025-09-29,South Korea’s trade deal with Trump could sink its currency and trigger a financial crisis
2025-09-29,China Just Cut Off Key Minerals — Jim Rickards Says America’s Hidden Asset Could Be the Only Answer
2025-09-29,"TMD Energy Limited Reports Its Financial Results for the Six Months Transition Period Ended June 30, 2025"
2025-09-29,"Supreme Court upholds foreign aid freeze, handing Trump a major victory"
2025-09-29,West Virginia leaders applaud Trump’s $625M investment in coal initiatives
2025-09-29,Public trust in science has declined since COVID — virologists need to unite around safety standards
2025-09-29,U.S. gold reserves hit $1 trillion in value after record rally
2025-09-29,Self-Renewing Organizations As Innovations
2025-09-29,Expectations low amid high tensions as shutdown deadline nears
2025-09-29,MoMA PS1’s ‘The Gatherers’ Rejects Climate Catastrophism in Favor of Resilient Resourcefulness
2025-09-29,Big bullion day: US gold reserves hit $1 trillion in value after record rally
2025-09-29,India’s trade compass points everywhere at once as FTAs and deals multiply
2025-09-29,US gold reserves smash $1 trillion mark as precious metal hits fresh highs
2025-09-29,Who Will Lead Japan?
2025-09-29,'Battlefield' maker Electronic Arts to go private in record-setting $55 billion LBO
2025-09-29,"China and Its Mentor, Singapore"
2025-09-29,"At the UN, African leaders did not draw attention to home conflicts, analysts say"
2025-09-29,EU and NATO Consider Denying Russia Baltic Access
2025-09-29,Opinion: Excluding jobseekers from core welfare increases will cut the safety net of 2.9 million workers
2025-09-29,New drive to enhance UK legal sector on world stage
2025-09-29,The Payment Story: Chapter 1- The Central Bank’s Invisible Hand (Sudha Rajamanickam)
2025-09-29,Flood Myths on Thin Ice: What Greenland Just Told the Modelers
2025-09-29,Iran Defiant as UN Sanctions Snap Back Into Force
2025-09-29,Are business schools priming students for a world that no longer exists?
2025-09-29,Financing Our Own Destruction
2025-09-29,Will a new EU maritime industrial strategy save Europe’s shipbuilders?
2025-09-29,Pimco CEO Roman Says Tariff Uncertainty Poses Risks to US Stocks
2025-09-29,Weekly Climate and Energy News Roundup #659
2025-09-29,"Port Talbot, one year on: steelworks closure shows why public is losing trust in net zero"
2025-09-29,Grad Students are Developing a Way to Cool Texas Data Centers Without Water
2025-09-29,COP30 must be a turning point that accelerates action to keep 1.5 degrees in reach: UK Statement at the UN Climate Summit 2025
2025-09-29,YouTube Agrees to Pay President Trump $24.5 Million Settlement Over 2021 Suspension of His Account
2025-09-29,General Assembly Enters Final Day of General Debate
2025-09-29,How Argentina Became Latin America's 4th Largest Crude Oil Producer
2025-09-29,Opinion: Apprenticeships should not sit on the margins of the education system
2025-09-29,Israeli annexation of the West Bank cannot be allowed to happen: UK statement at the UN Security Council
2025-09-29,Inside the Fight Against Trump’s Alaskan Pipe Dream
2025-09-29,"U.S. Investors Are Flush With Cash, and Happy to Keep It There"
2025-09-29,Transcript: Trump Is Failing and Unpopular—Brutal New Polls Confirm It
2025-09-29,"Adams Exit Unlikely to Derail Mamdani, and CRE Is Making Its Peace With That"
2025-09-29,UK Chancellor vows to build renewed economy amid growth challenges
2025-09-29,"A decade later, Carney's climate wake-up call to financiers still falls on deaf ears"
2025-09-29,"Ford CEO Jim Farley on China, tariffs, and the quest for a $30,000 EV"
2025-09-29,How McKinsey and Climate Change Wrecked Insurance
2025-09-29,Show HN: Economic Curves Simulator: Armey and Laffer
2025-09-29,The Case Against Generative AI
2025-09-29,"Submarine cable security is all at sea, and UK govt 'too timid' to act, says report"
2025-09-29,"Temporary foreign workers have become a political flashpoint, but they are a matter of survival for some businesses"
2025-09-29,Trump's Energy Department forbids staff from saying ‘climate change’ or ‘green’ | TechCrunch
2025-09-29,Here’s what is so different about the brewing government shutdown | CNN Politics
2025-09-30,Deloitte's $7.6 billion UK business just posted its first revenue decline in 15 years
2025-09-30,Ford CEO on his ‘epiphany’ after talking to his Gen Z factory workers: They were saying they ‘had to have three jobs’
2025-09-30,Links 9/30/2025
2025-09-30,Polish PM Tusk declares Russia-Ukraine conflict as “OUR WAR”
2025-09-30,China’s Economy Trolling Trump Better Than A Mean Tweet
2025-09-30,Will the G20 listen to its own advisors? Four urgent steps on climate change
2025-09-30,The Euro 'stablecoin': How this new crypto venture could threaten the Eurozone's already fragile economy
2025-09-30,Millennials Share 38 Posts And Memes That Show The Struggles They Face
2025-09-30,Your expensive power bill is part of an alarming trend
2025-09-30,How Bitcoin-Backed Loans Are Creating A New Financial Symbiosis
2025-09-30,Russian economic advisor warns of U.S. financial RESET plan that could trigger global wealth collapse
2025-09-30,Three Rules For Navigating a Fetal Position Moment
2025-09-30,America’s Crypto Apocalypse
2025-09-30,Professor Warns Society Is Veering Toward a Digital Apocalypse
2025-09-30,Ford CEO says America is ‘far behind’ rivals like China on blue-collar industry. ‘It is pretty humbling when you look at where we are’
2025-09-30,Why Canada Needs A New Foreign Investor Immigration Program Now
2025-09-30,France on the Brink: Debt Spiral and Political Paralysis
2025-09-30,"After mass exodus, limbo: Rohingya refugees test international resolve"
2025-09-30,Only 48 Percent Of U.S. Adults Under The Age Of 30 Have A Full-Time Job?
2025-09-30,Shutting Down the Government Is Thinking Small
2025-09-30,How Democrats’ War On Energy Could Cost Them Governor’s Mansion In Deep Blue Stronghold
2025-09-30,Houthis escalate attacks as Dutch cargo ship set ablaze in Gulf of Aden
2025-09-30,Akash founder Greg Osuri warns AI training may trigger global energy crisis
2025-09-30,Democrats Must Address the Real Reason They Want a Shutdown
2025-09-30,"South Korea's Lee, outgoing Japan PM Ishiba hold talks on better ties, US trade deals"
2025-09-30,The euro ‘stablecoin’: how this new crypto venture could threaten the eurozone’s already fragile economy
2025-09-30,Can You Guess The Number One Challenge That Americans Believe They Are Facing In 2025?
2025-09-30,"Jefferson, Monetary Policy Frameworks and the U.S. Economic Outlook"
2025-09-30,Will the G20 listen to its own advisors? 4 urgent steps on climate change
2025-09-30,Bigbear.ai: Sell BBAI Stock At $6?
2025-09-30,Multiple Interests? 7 Questions To Narrow Down Your Career Choices
2025-09-30,Japan's outgoing Prime Minister Ishiba and South Korea's Lee hold final summit in Busan
2025-09-30,"Best CD rates today, September 30, 2025: Lock in up to 4.45% APY today"
2025-09-30,Moldovan Pro-Europe Ruling Party Celebrates Strong Win In Crucial Parliamentary Elections
2025-09-30,Germany thrived in the first China Shock. But the next one could prove catastrophic.
2025-09-30,Eric Adams exits NYC mayoral race as socialist challenger gains momentum
2025-09-30,Trump Is Filling the Fed with Loyalists
2025-09-30,Ford CEO says America is ‘far behind’ rivals like China on blue-collar industry. ‘It is pretty humbling when you look at where we are’
2025-09-30,Trump Approval Rating: Steady At 43% In Latest Poll—Still Below Almost All Other Recent Presidents
2025-09-30,Trump’s tariffs evoke a spectre of the 1930s: Is America repeating its folly?
2025-09-30,He is rated as Britain's most unpopular leader ever. Can he turn it around?
2025-09-30,"India must grow twice as fast to avoid jobs trap, Morgan Stanley warns"
2025-09-30,Thailand Freezes Over 3 Million Bank Accounts
2025-09-30,You Might Want to Ditch Your AI Investments Now That Jim Cramer Says No Bubble Is Coming
2025-09-30,Ford CEO on his ‘epiphany’ after talking to his Gen Z factory workers: ‘They were saying I had to have three jobs’
2025-09-30,"In UN speech, Beijing makes clear its intent to remold global norms, seizing on Trump's retreat"
2025-09-30,"Bengal's 2025 Durga Puja economy rebounds by 10-15 pc to Rs 46,000-50,000 cr"
2025-09-30,Trump’s UN Speech: The Climate Emperor Now Stands Exposed
2025-09-30,The Big Lebowski Civil War
2025-09-30,The College Degree Is Not Losing Value
2025-09-30,"Government Shutdown At Midnight, White House Says Oops"
2025-09-30,"Argentina's soy exports to China soar amid US bailout, fuelling tensions in Trump camp"
2025-09-30,Procurement's Role in End-to-End Visibility: From Supplier to Customer
2025-09-30,Don't Sweat the AGI Race
2025-09-30,Germany's government closes its ranks at a time of crisis
2025-09-30,How Germany's chancellor aims to mend his government crisis
2025-09-30,More Democrat policies that contributed to the cost-of-living crisis
2025-09-30,"Ishiba, S Korea's Lee commit to closer ties in their final summit"
2025-09-30,UK Households Save More as Threat of Tax Rises Weighs on Outlook
2025-09-30,RBA governor warns housing supply improvement several years away
2025-09-30,Can German Chancellor Merz fix his government crisis?
2025-09-30,‘New in the experience of the Earth’: 12 voices on climate change explain how we got here
2025-09-30,America’s AI Boom Faces a Supply Crisis — Jim Rickards Says the Solution Lies Beneath Our Feet
2025-09-30,Japan and South Korea leaders commit to closer ties in their final summit
2025-09-30,Israeli annexation of the West Bank cannot be allowed to happen: UK statement at the UN Security Council
2025-09-30,Israeli Life in 2025 in 7 Charts
2025-09-30,The federal government could shut down soon: Here’s what you need to know
2025-09-30,"The average price of a three-bed semi-detached house in Dublin is now over €610,000"
2025-09-30,A Closer Look at Ideology and Truth on Campus: A Response to Eppard and Mackey
2025-09-30,"The playbook for fighting antisemism in America, Part I"
2025-09-30,"More than half of likely voters in Mass. say Gov. Healey should be reelected, poll finds"
2025-09-30,South Korea ex-PM Han's trial over martial law crisis kicks off
2025-09-30,Could you eat for a week for $50?
2025-09-30,Japan and South Korea leaders commit to closer ties in their final summit
2025-09-30,"Here are some effects of a government shutdown if Congress, Trump don’t reach a deal"
2025-09-30,French Inflation Quickens But Remains Well Short of 2% ECB Goal
2025-09-30,South Korea ex-PM Han's trial over martial law crisis kicks off
2025-09-30,Japan’s outgoing Prime Minister Ishiba and South Korea’s Lee hold final summit in Busan
2025-09-30,'A perfect storm' — more colleges at risk as enrollment falls and financial pressures mount
2025-09-30,A wake-up call for investors: ‘There is no safe haven any more’
2025-09-30,"Over 100,000 Federal Employees Expected to Quit Tuesday Amid Government Shutdown — Largest Exodus in U.S. History as Trump Moves to Finally Drain the Swamp"
2025-09-30,Belfast court told documents indicate Cushnahan and Coulter withheld vital information
2025-09-30,Power prices: Government reveals actions on energy sector after review of electricity market
2025-09-30,India's Energy Tightrope: Balancing Decarbonization and Development
2025-09-30,Long Read: How a new European ideological patriotism could be a counter for Trumpism
2025-09-30,Tech Support - Historian Answers Latin American History Questions
2025-09-30,How to Lead with Courage in Chaotic Times
